kind,symbol,file,line,context_decl,detail
ParameterUsage,chip_puf_at_time,02_FORMAL/coq/domains/PhysicalSecurity.v,381,PHY_001_08_puf_stable,chip_puf_at_time c t1 challenge = chip_puf_at_time c t2 challenge.
ParameterUsage,puf_temperature_stable,02_FORMAL/coq/domains/PhysicalSecurity.v,384,PHY_001_08_puf_stable,apply puf_temperature_stable.
ParameterUsage,authenticate_chip,02_FORMAL/coq/domains/PhysicalSecurity.v,390,PHY_001_09_counterfeit_detected,authenticate_chip c g = Counterfeit.
ParameterUsage,authentication_sound,02_FORMAL/coq/domains/PhysicalSecurity.v,393,PHY_001_09_counterfeit_detected,apply authentication_sound.
ParameterUsage,fab_integrity_check,02_FORMAL/coq/domains/PhysicalSecurity.v,399,PHY_001_10_no_fab_tampering,fab_integrity_check c g = FabClean ->
ParameterUsage,fab_check_sound,02_FORMAL/coq/domains/PhysicalSecurity.v,403,PHY_001_10_no_fab_tampering,apply fab_check_sound.
ParameterUsage,detect_probe,02_FORMAL/coq/domains/PhysicalSecurity.v,414,PHY_001_11_mesh_integrity,detect_probe d = ProbeDetected.
ParameterUsage,mesh_detects_probing,02_FORMAL/coq/domains/PhysicalSecurity.v,417,PHY_001_11_mesh_integrity,apply mesh_detects_probing.
ParameterUsage,voltage_monitor,02_FORMAL/coq/domains/PhysicalSecurity.v,440,PHY_001_13_voltage_glitch_detected,voltage_monitor d = true.
ParameterUsage,voltage_monitor_correct,02_FORMAL/coq/domains/PhysicalSecurity.v,443,PHY_001_13_voltage_glitch_detected,apply voltage_monitor_correct.
ParameterUsage,temp_monitor,02_FORMAL/coq/domains/PhysicalSecurity.v,450,PHY_001_14_temperature_bounds,temp_monitor d = true.
ParameterUsage,temp_monitor_triggers_shutdown,02_FORMAL/coq/domains/PhysicalSecurity.v,453,PHY_001_14_temperature_bounds,apply temp_monitor_triggers_shutdown.
ParameterUsage,crypto_operation,02_FORMAL/coq/domains/PhysicalSecurity.v,459,PHY_001_15_power_independent,crypto_operation op = true ->
ParameterUsage,crypto_power_independent,02_FORMAL/coq/domains/PhysicalSecurity.v,463,PHY_001_15_power_independent,apply crypto_power_independent.
ParameterUsage,synthesize,02_FORMAL/coq/domains/PhysicalSecurity.v,523,PHY_001_21_synthesis_all_inputs,rtl_behavior rtl inputs = nl_behavior (synthesize rtl) inputs.
ParameterUsage,synthesis_preserves_semantics,02_FORMAL/coq/domains/PhysicalSecurity.v,526,PHY_001_21_synthesis_all_inputs,pose proof (synthesis_preserves_semantics rtl) as Hpres.
ClassicalOrExtensionalityImport,Coq.Logic.Classical_Prop,02_FORMAL/coq/domains/RefinementTypes.v,10,,Require Import Coq.Logic.Classical_Prop.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/domains/S001_HardwareContracts.v,12,,Require Import Coq.Logic.FunctionalExtensionality.
