file,language,proof_count
02_FORMAL/coq/domains/PostQuantumSignatures.v,coq,26
02_FORMAL/coq/domains/ProbabilisticVerification.v,coq,20
02_FORMAL/coq/domains/QuantitativeDeclassification.v,coq,22
02_FORMAL/coq/domains/QuantumSafeTLS.v,coq,69
02_FORMAL/coq/domains/QuantumTypes.v,coq,29
02_FORMAL/coq/domains/ROPDefense.v,coq,89
02_FORMAL/coq/domains/RadiationHardening.v,coq,20
02_FORMAL/coq/domains/RefinementTypes.v,coq,24
02_FORMAL/coq/domains/S001_HardwareContracts.v,coq,30
02_FORMAL/coq/domains/SIGMA001_VerifiedStorage.v,coq,38
02_FORMAL/coq/domains/SIMDVerification.v,coq,22
02_FORMAL/coq/domains/SQLInjectionPrevention.v,coq,22
02_FORMAL/coq/domains/SecureBootVerification.v,coq,95
02_FORMAL/coq/domains/SecureUpdates.v,coq,25
02_FORMAL/coq/domains/SelfHealing.v,coq,25
02_FORMAL/coq/domains/SensorFusion.v,coq,25
02_FORMAL/coq/domains/SessionTypes.v,coq,45
02_FORMAL/coq/domains/SingaporeCyberTrustMark.v,coq,27
02_FORMAL/coq/domains/SingaporeCybersecurityAct.v,coq,26
02_FORMAL/coq/domains/SingaporeHealthInfo.v,coq,28
02_FORMAL/coq/domains/SingaporeMAS_TRM.v,coq,21
02_FORMAL/coq/domains/SingaporeMTCS.v,coq,32
02_FORMAL/coq/domains/SingaporePDPA.v,coq,67
02_FORMAL/coq/domains/SmartContractSecurity.v,coq,36
02_FORMAL/coq/domains/SpectreDefense.v,coq,21
02_FORMAL/coq/domains/SpeculativeExecution.v,coq,20
02_FORMAL/coq/domains/StandardLibrary.v,coq,45
02_FORMAL/coq/domains/SupplyChainSecurity.v,coq,37
02_FORMAL/coq/domains/T001_HermeticBuild.v,coq,28
02_FORMAL/coq/domains/TEEAttestation.v,coq,100
02_FORMAL/coq/domains/TestingQA.v,coq,29
02_FORMAL/coq/domains/TimeSecurity.v,coq,25
02_FORMAL/coq/domains/TimingSecurity.v,coq,67
02_FORMAL/coq/domains/ToolingIDE.v,coq,21
02_FORMAL/coq/domains/TotalStackFoundation.v,coq,51
02_FORMAL/coq/domains/TrafficResistance.v,coq,25
02_FORMAL/coq/domains/TranslationValidation.v,coq,22
02_FORMAL/coq/domains/U001_RuntimeGuardian.v,coq,36
02_FORMAL/coq/domains/V001_TerminationGuarantees.v,coq,33
02_FORMAL/coq/domains/VerifiedAIML.v,coq,25
02_FORMAL/coq/domains/VerifiedAudit.v,coq,25
02_FORMAL/coq/domains/VerifiedAutonomy.v,coq,25
02_FORMAL/coq/domains/VerifiedCompliance.v,coq,35
02_FORMAL/coq/domains/VerifiedFileSystem.v,coq,109
02_FORMAL/coq/domains/VerifiedHardware.v,coq,47
02_FORMAL/coq/domains/VerifiedIdentity.v,coq,40
02_FORMAL/coq/domains/VerifiedInfra.v,coq,26
02_FORMAL/coq/domains/VerifiedIsolation.v,coq,35
02_FORMAL/coq/domains/VerifiedMicrokernel.v,coq,25
02_FORMAL/coq/domains/VerifiedNetwork.v,coq,25
02_FORMAL/coq/domains/VerifiedNetworkStack.v,coq,140
02_FORMAL/coq/domains/VerifiedProtocols.v,coq,37
02_FORMAL/coq/domains/VerifiedRuntime.v,coq,23
02_FORMAL/coq/domains/VerifiedUI.v,coq,68
02_FORMAL/coq/domains/W001_VerifiedMemory.v,coq,41
02_FORMAL/coq/domains/WCETBounds.v,coq,39
02_FORMAL/coq/domains/WCETTypes.v,coq,22
02_FORMAL/coq/domains/WasmBackendVerification.v,coq,43
02_FORMAL/coq/domains/WebSecurity.v,coq,25
02_FORMAL/coq/domains/X001_ConcurrencyModel.v,coq,40
02_FORMAL/coq/domains/XSSPrevention.v,coq,170
02_FORMAL/coq/domains/Y001_VerifiedStdlib.v,coq,41
02_FORMAL/coq/domains/Z001_DeclassificationPolicy.v,coq,36
02_FORMAL/coq/domains/ZKSNARKSecurity.v,coq,98
02_FORMAL/coq/domains/ZKSTARKSecurity.v,coq,107
02_FORMAL/coq/domains/mobile_os/AnimationSystem.v,coq,22
02_FORMAL/coq/domains/mobile_os/AppDistribution.v,coq,27
02_FORMAL/coq/domains/mobile_os/ApplicationLifecycle.v,coq,22
02_FORMAL/coq/domains/mobile_os/BiometricSystem.v,coq,20
02_FORMAL/coq/domains/mobile_os/CameraAudioSystem.v,coq,21
02_FORMAL/coq/domains/mobile_os/CellularStack.v,coq,24
02_FORMAL/coq/domains/mobile_os/ComputerVision.v,coq,25
02_FORMAL/coq/domains/mobile_os/ConcurrencyFramework.v,coq,21
02_FORMAL/coq/domains/mobile_os/DataPersistence.v,coq,20
02_FORMAL/coq/domains/mobile_os/EncryptionSystem.v,coq,22
02_FORMAL/coq/domains/mobile_os/FileSystem.v,coq,20
02_FORMAL/coq/domains/mobile_os/GraphicsEngine.v,coq,21
02_FORMAL/coq/domains/mobile_os/LocationServices.v,coq,23
02_FORMAL/coq/domains/mobile_os/MemoryManagement.v,coq,21
02_FORMAL/coq/domains/mobile_os/MultiDeviceContinuity.v,coq,25
02_FORMAL/coq/domains/mobile_os/NetworkSecurity.v,coq,20
02_FORMAL/coq/domains/mobile_os/NetworkingStack.v,coq,21
02_FORMAL/coq/domains/mobile_os/NotificationSystem.v,coq,22
02_FORMAL/coq/domains/mobile_os/OnDeviceML.v,coq,25
02_FORMAL/coq/domains/mobile_os/PowerManagement.v,coq,21
02_FORMAL/coq/domains/mobile_os/SystemApps.v,coq,24
02_FORMAL/coq/domains/mobile_os/SystemArchitecture.v,coq,22
02_FORMAL/coq/domains/mobile_os/TouchGestureSystem.v,coq,21
02_FORMAL/coq/domains/mobile_os/TrackingPrevention.v,coq,25
02_FORMAL/coq/domains/mobile_os/UIComponents.v,coq,26
02_FORMAL/coq/domains/mobile_os/VoiceAssistant.v,coq,24
02_FORMAL/coq/domains/mobile_os/WirelessProtocols.v,coq,25
02_FORMAL/coq/domains/security_foundation/BootVerification.v,coq,22
02_FORMAL/coq/domains/security_foundation/DisplayDriver.v,coq,23
02_FORMAL/coq/domains/security_foundation/GarbageCollector.v,coq,20
02_FORMAL/coq/domains/security_foundation/HardwareRootOfTrust.v,coq,21
02_FORMAL/coq/domains/security_foundation/IOMMUProtection.v,coq,22
02_FORMAL/coq/domains/security_foundation/InterruptVirtualization.v,coq,21
02_FORMAL/coq/domains/security_foundation/MemoryVirtualization.v,coq,21
02_FORMAL/coq/domains/security_foundation/NetworkDriver.v,coq,21
02_FORMAL/coq/domains/security_foundation/RollbackProtection.v,coq,21
02_FORMAL/coq/domains/security_foundation/SensorDrivers.v,coq,22
02_FORMAL/coq/domains/security_foundation/VerifiedCrypto.v,coq,21
02_FORMAL/coq/domains/uiux/AnimationEngine.v,coq,26
02_FORMAL/coq/domains/uiux/CognitiveAccessibility.v,coq,57
02_FORMAL/coq/domains/uiux/GestureSystem.v,coq,23
02_FORMAL/coq/domains/uiux/MotorAccessibility.v,coq,45
02_FORMAL/coq/domains/uiux/ScrollPhysics.v,coq,22
02_FORMAL/coq/domains/uiux/Transitions.v,coq,30
02_FORMAL/coq/domains/uiux/VisualAccessibility.v,coq,42
02_FORMAL/coq/effects/EffectAlgebra.v,coq,9
02_FORMAL/coq/effects/EffectGate.v,coq,23
02_FORMAL/coq/effects/EffectSystem.v,coq,6
02_FORMAL/coq/foundations/Semantics.v,coq,13
02_FORMAL/coq/foundations/Syntax.v,coq,5
02_FORMAL/coq/foundations/Typing.v,coq,12
02_FORMAL/coq/properties/AhmedStyleTest.v,coq,7
02_FORMAL/coq/properties/ClosedValueLemmas.v,coq,11
02_FORMAL/coq/properties/Composition.v,coq,6
02_FORMAL/coq/properties/CumulativeMonotone.v,coq,5
02_FORMAL/coq/properties/CumulativeRelation.v,coq,15
02_FORMAL/coq/properties/Declassification.v,coq,8
02_FORMAL/coq/properties/FirstOrderComplete.v,coq,7
02_FORMAL/coq/properties/KripkeProperties.v,coq,25
02_FORMAL/coq/properties/LexOrder.v,coq,16
02_FORMAL/coq/properties/MaximumAxiomElimination.v,coq,54
02_FORMAL/coq/properties/NonInterference_v2.v,coq,47
02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,coq,150
02_FORMAL/coq/properties/NonInterference_v2_Monotone.v,coq,5
02_FORMAL/coq/properties/ReferenceOps.v,coq,15
02_FORMAL/coq/properties/SN_Closure.v,coq,46
02_FORMAL/coq/properties/SecurityProperties.v,coq,1
02_FORMAL/coq/properties/StoreRelation.v,coq,25
02_FORMAL/coq/properties/StoreWfLemmas.v,coq,4
02_FORMAL/coq/properties/SubstitutionCommute.v,coq,11
02_FORMAL/coq/properties/TypeMeasure.v,coq,29
02_FORMAL/coq/properties/ValRelMonotone.v,coq,8
02_FORMAL/coq/properties/ValRelStepLimit_PROOF.v,coq,7
02_FORMAL/coq/properties/_archive_deprecated/ApplicationComplete.v,coq,12
02_FORMAL/coq/properties/_archive_deprecated/AxiomEliminationVerified.v,coq,17
02_FORMAL/coq/properties/_archive_deprecated/EvalDeterminism.v,coq,18
02_FORMAL/coq/properties/_archive_deprecated/FundamentalTheorem.v,coq,32
02_FORMAL/coq/properties/_archive_deprecated/KripkeMutual.v,coq,10
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF.v,coq,5
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationAssign_PROOF_FIXED.v,coq,13
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_INTEGRATION.v,coq,6
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,coq,8
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,coq,2
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,coq,7
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,coq,13
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,coq,12
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,74
02_FORMAL/coq/properties/_archive_deprecated/MultiStepInversion.v,coq,24
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,5
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,126
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,8
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,10
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v3.v,coq,9
02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,7
02_FORMAL/coq/properties/_archive_deprecated/ProofInfrastructure.v,coq,30
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,35
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,7
02_FORMAL/coq/properties/_archive_deprecated/SN_Core_v3.v,coq,27
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,6
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN_v2.v,coq,5
02_FORMAL/coq/properties/_archive_deprecated/StrongNormalization_v2.v,coq,19
02_FORMAL/coq/properties/_archive_deprecated/TypedConversion.v,coq,28
02_FORMAL/coq/properties/_archive_deprecated/TypingLemmas.v,coq,36
02_FORMAL/coq/properties/_archive_deprecated/ValRelFOEquiv.v,coq,4
02_FORMAL/coq/properties/_archive_deprecated/ValRelFOEquiv_v2.v,coq,6
02_FORMAL/coq/properties/_archive_deprecated/store_rel_weaken_dropin.v,coq,2
02_FORMAL/coq/properties/_archive_deprecated/store_rel_weaken_proof.v,coq,9
02_FORMAL/coq/termination/Reducibility.v,coq,9
02_FORMAL/coq/termination/ReducibilityFull.v,coq,40
02_FORMAL/coq/termination/SizedTypes.v,coq,16
02_FORMAL/coq/termination/StrongNorm.v,coq,8
02_FORMAL/coq/termination/TerminationLemmas.v,coq,7
02_FORMAL/coq/type_system/Preservation.v,coq,19
02_FORMAL/coq/type_system/Progress.v,coq,9
02_FORMAL/coq/type_system/TypeSafety.v,coq,2
02_FORMAL/lean/RIINA/Compliance/DO178CCompliance.lean,lean,22
02_FORMAL/lean/RIINA/Compliance/HIPAACompliance.lean,lean,15
02_FORMAL/lean/RIINA/Compliance/PCIDSSCompliance.lean,lean,38
02_FORMAL/lean/RIINA/Compliance/VerifiedCompliance.lean,lean,35
02_FORMAL/lean/RIINA/Domains/AIMLSecurity.lean,lean,42
02_FORMAL/lean/RIINA/Domains/ASEANCompliance.lean,lean,29
02_FORMAL/lean/RIINA/Domains/AlgebraicEffects.lean,lean,22
02_FORMAL/lean/RIINA/Domains/AnonymousComm.lean,lean,25
02_FORMAL/lean/RIINA/Domains/AntiJamming.lean,lean,25
02_FORMAL/lean/RIINA/Domains/AuthenticationProtocols.lean,lean,103
02_FORMAL/lean/RIINA/Domains/AuthenticationSecurity.lean,lean,20
02_FORMAL/lean/RIINA/Domains/BackendComposition.lean,lean,21
02_FORMAL/lean/RIINA/Domains/BackendTraitVerification.lean,lean,21
02_FORMAL/lean/RIINA/Domains/BinarySizeBounds.lean,lean,20
02_FORMAL/lean/RIINA/Domains/BufferOverflowPrevention.lean,lean,23
02_FORMAL/lean/RIINA/Domains/CSRFProtection.lean,lean,37
02_FORMAL/lean/RIINA/Domains/CapabilitySecurity.lean,lean,109
02_FORMAL/lean/RIINA/Domains/CapitalMarkets.lean,lean,27
02_FORMAL/lean/RIINA/Domains/CertificationEvidence.lean,lean,25
02_FORMAL/lean/RIINA/Domains/CommonCriteriaEAL7.lean,lean,53
02_FORMAL/lean/RIINA/Domains/CompilerCorrectness.lean,lean,79
02_FORMAL/lean/RIINA/Domains/ConstantTimeCrypto.lean,lean,27
02_FORMAL/lean/RIINA/Domains/ContainerSecurity.lean,lean,106
02_FORMAL/lean/RIINA/Domains/ControlFlowIntegrity.lean,lean,21
02_FORMAL/lean/RIINA/Domains/CoreBanking.lean,lean,31
02_FORMAL/lean/RIINA/Domains/CovertChannelElimination.lean,lean,23
02_FORMAL/lean/RIINA/Domains/CovertChannels.lean,lean,26
02_FORMAL/lean/RIINA/Domains/CrossBorderRemittance.lean,lean,25
02_FORMAL/lean/RIINA/Domains/CrossLayerSecurity.lean,lean,21
02_FORMAL/lean/RIINA/Domains/CryptographicSecurity.lean,lean,77
02_FORMAL/lean/RIINA/Domains/DELTA001_VerifiedDistribution.lean,lean,32
02_FORMAL/lean/RIINA/Domains/DO178CCompliance.lean,lean,42
02_FORMAL/lean/RIINA/Domains/DataRaceFreedom.lean,lean,36
02_FORMAL/lean/RIINA/Domains/DependentTypes.lean,lean,33
02_FORMAL/lean/RIINA/Domains/DigitalWallet.lean,lean,25
02_FORMAL/lean/RIINA/Domains/DistributedConsensus.lean,lean,24
02_FORMAL/lean/RIINA/Domains/DistributedSecurity.lean,lean,48
02_FORMAL/lean/RIINA/Domains/DualModeVerification.lean,lean,23
02_FORMAL/lean/RIINA/Domains/ESGCompliance.lean,lean,35
02_FORMAL/lean/RIINA/Domains/EnterpriseERP.lean,lean,25
02_FORMAL/lean/RIINA/Domains/FFIAttackResearch.lean,lean,21
02_FORMAL/lean/RIINA/Domains/FHESecurity.lean,lean,95
02_FORMAL/lean/RIINA/Domains/FormalVerification.lean,lean,36
02_FORMAL/lean/RIINA/Domains/FullstackSecurity.lean,lean,25
02_FORMAL/lean/RIINA/Domains/FutureSecurity.lean,lean,24
02_FORMAL/lean/RIINA/Domains/HIPAACompliance.lean,lean,21
02_FORMAL/lean/RIINA/Domains/HardwareSecurity.lean,lean,34
02_FORMAL/lean/RIINA/Domains/HealthcareIS.lean,lean,30
02_FORMAL/lean/RIINA/Domains/HumanFactorSecurity.lean,lean,54
02_FORMAL/lean/RIINA/Domains/HypervisorSecurity.lean,lean,90
02_FORMAL/lean/RIINA/Domains/ISO26262Compliance.lean,lean,37
02_FORMAL/lean/RIINA/Domains/InjectionPrevention.lean,lean,26
02_FORMAL/lean/RIINA/Domains/IrisSeparationLogic.lean,lean,21
02_FORMAL/lean/RIINA/Domains/KeyLifecycle.lean,lean,25
02_FORMAL/lean/RIINA/Domains/LLMProofPipeline.lean,lean,21
02_FORMAL/lean/RIINA/Domains/LinearTypes.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MLSafetyTypes.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MLTTFoundation.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MalaysiaBNMRMiT.lean,lean,28
02_FORMAL/lean/RIINA/Domains/MalaysiaBursaGov.lean,lean,23
02_FORMAL/lean/RIINA/Domains/MalaysiaCybersecurityAct.lean,lean,28
02_FORMAL/lean/RIINA/Domains/MalaysiaDigitalSignature.lean,lean,26
02_FORMAL/lean/RIINA/Domains/MalaysiaKKMHealthcare.lean,lean,27
02_FORMAL/lean/RIINA/Domains/MalaysiaMAMPU.lean,lean,27
02_FORMAL/lean/RIINA/Domains/MalaysiaMCMC.lean,lean,20
02_FORMAL/lean/RIINA/Domains/MalaysiaPDPA.lean,lean,41
02_FORMAL/lean/RIINA/Domains/MalaysiaSCGTRM.lean,lean,24
02_FORMAL/lean/RIINA/Domains/MeltdownDefense.lean,lean,31
02_FORMAL/lean/RIINA/Domains/MemorySafety.lean,lean,140
02_FORMAL/lean/RIINA/Domains/MeshNetworking.lean,lean,28
02_FORMAL/lean/RIINA/Domains/MetadataPrivacy.lean,lean,25
02_FORMAL/lean/RIINA/Domains/Metaprogramming.lean,lean,27
02_FORMAL/lean/RIINA/Domains/MobileBridgeVerification.lean,lean,32
02_FORMAL/lean/RIINA/Domains/MobileOS/AnimationSystem.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/AppDistribution.lean,lean,27
02_FORMAL/lean/RIINA/Domains/MobileOS/ApplicationLifecycle.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/BiometricSystem.lean,lean,20
02_FORMAL/lean/RIINA/Domains/MobileOS/CameraAudioSystem.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/CellularStack.lean,lean,24
02_FORMAL/lean/RIINA/Domains/MobileOS/ComputerVision.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MobileOS/ConcurrencyFramework.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/DataPersistence.lean,lean,20
02_FORMAL/lean/RIINA/Domains/MobileOS/EncryptionSystem.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/FileSystem.lean,lean,20
02_FORMAL/lean/RIINA/Domains/MobileOS/GraphicsEngine.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/LocationServices.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/MemoryManagement.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/MultiDeviceContinuity.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MobileOS/NetworkSecurity.lean,lean,20
02_FORMAL/lean/RIINA/Domains/MobileOS/NetworkingStack.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/NotificationSystem.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/OnDeviceML.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MobileOS/PowerManagement.lean,lean,21
02_FORMAL/lean/RIINA/Domains/MobileOS/SystemApps.lean,lean,24
02_FORMAL/lean/RIINA/Domains/MobileOS/SystemArchitecture.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/TouchGestureSystem.lean,lean,22
02_FORMAL/lean/RIINA/Domains/MobileOS/TrackingPrevention.lean,lean,26
02_FORMAL/lean/RIINA/Domains/MobileOS/UIComponents.lean,lean,26
02_FORMAL/lean/RIINA/Domains/MobileOS/VoiceAssistant.lean,lean,24
02_FORMAL/lean/RIINA/Domains/MobileOS/WirelessProtocols.lean,lean,25
02_FORMAL/lean/RIINA/Domains/MobilePlatform.lean,lean,25
02_FORMAL/lean/RIINA/Domains/ModuleSystems.lean,lean,27
02_FORMAL/lean/RIINA/Domains/MultiProverValidation.lean,lean,25
02_FORMAL/lean/RIINA/Domains/NetworkDefense.lean,lean,43
02_FORMAL/lean/RIINA/Domains/NetworkSecurity.lean,lean,26
02_FORMAL/lean/RIINA/Domains/OMEGA001_NetworkDefense.lean,lean,30
02_FORMAL/lean/RIINA/Domains/OperationalSecurity.lean,lean,25
02_FORMAL/lean/RIINA/Domains/OwnershipTypes.lean,lean,21
02_FORMAL/lean/RIINA/Domains/PCIDSSCompliance.lean,lean,38
02_FORMAL/lean/RIINA/Domains/PI001_VerifiedPerformance.lean,lean,34
02_FORMAL/lean/RIINA/Domains/PSI001_OperationalSecurity.lean,lean,40
02_FORMAL/lean/RIINA/Domains/PhysicalSecurity.lean,lean,21
02_FORMAL/lean/RIINA/Domains/PhysicsSecurity.lean,lean,27
02_FORMAL/lean/RIINA/Domains/PlatformStdlibVerification.lean,lean,20
02_FORMAL/lean/RIINA/Domains/PostQuantumKEM.lean,lean,27
02_FORMAL/lean/RIINA/Domains/PostQuantumSignatures.lean,lean,27
02_FORMAL/lean/RIINA/Domains/ProbabilisticVerification.lean,lean,20
02_FORMAL/lean/RIINA/Domains/QuantitativeDeclassification.lean,lean,22
02_FORMAL/lean/RIINA/Domains/QuantumSafeTLS.lean,lean,70
02_FORMAL/lean/RIINA/Domains/QuantumTypes.lean,lean,29
